N,sum_scalar(ms),sum_avx2(ms),speedup_sum,max_scalar(ms),max_avx2(ms),speedup_max
16384,0.037675,0.004766,7.90495,0.037858,0.00495,7.64808
32768,0.07535,0.009533,7.90412,0.075533,0.009533,7.92332
65536,0.151158,0.022825,6.62248,0.151434,0.020258,7.47527
131072,0.305617,0.037675,8.11193,0.302317,0.042075,7.18519
262144,0.603442,0.075809,7.96003,0.602617,0.07645,7.8825
524288,1.20633,0.15125,7.97576,1.20853,0.151434,7.98059
1048576,2.52276,0.3982,6.3354,2.46299,0.349616,7.04485
2097152,5.07888,1.24062,4.09384,5.36836,1.21486,4.41892
4194304,10.3763,2.23749,4.63747,10.4109,1.82893,5.69231
8388608,20.5573,3.60827,5.69728,20.9669,3.59535,5.83168
16777216,40.5678,6.55224,6.19144,40.7864,7.11296,5.7341
