N,sum_scalar(ms),sum_cuda(ms),speedup_sum,max_scalar(ms),max_cuda(ms),speedup_max
16384,0.006200,0.071648,0.086534,0.012390,0.071680,0.172852
32768,0.012397,0.080320,0.154345,0.024788,0.101536,0.244130
65536,0.024792,0.079168,0.313157,0.049567,0.079232,0.625593
131072,0.049566,0.070464,0.703423,0.099135,0.070592,1.404338
262144,0.099130,0.071776,1.381102,0.198267,0.071872,2.758612
524288,0.198273,0.374400,0.529575,0.396537,0.372896,1.063398
1048576,0.396593,0.383136,1.035123,0.793054,0.367328,2.158981
2097152,0.794989,0.393696,2.019297,1.588086,0.427584,3.714091
4194304,1.621359,0.422176,3.840481,3.220603,0.375136,8.585161
8388608,3.360675,0.404352,8.311261,6.414978,0.444576,14.429430
16777216,6.844199,0.526272,13.005060,13.120495,0.545472,24.053470
